,legal_entity,counter_party,tier,max_rating,sum_ARAP,sum_ACCR
0,L1,total,total,6,85,100
1,L2,total,total,6,1020,207
2,L3,total,total,6,145,205
0,L1,C1,total,3,40,0
1,L1,C3,total,6,5,0
2,L1,C4,total,6,40,100
3,L2,C2,total,3,20,40
4,L2,C3,total,2,0,52
5,L2,C5,total,6,1000,115
6,L3,C3,total,4,0,145
7,L3,C6,total,6,145,60
0,total,C1,total,3,40,0
1,total,C2,total,3,20,40
2,total,C3,total,6,5,197
3,total,C4,total,6,40,100
4,total,C5,total,6,1000,115
5,total,C6,total,6,145,60
0,total,total,1,3,40,0
1,total,total,2,3,20,40
2,total,total,3,6,5,197
3,total,total,4,6,40,100
4,total,total,5,6,1000,115
5,total,total,6,6,145,60
